City,latitude,longitude
Vizianagaram,18.1141255,83.4114389
Gangtok,27.329046,88.6122673
Pelling,27.3003722,88.2356503
Namchi,27.3031019,88.3785961
Ravangla,27.3051271,88.3644723
Guwahati,26.1805978,91.753943
Kaziranga,26.5892533,93.4084741
Sivasagar,26.9834936,94.6394226
Majuli,27.0219529,94.327423
Manas,24.3241046,73.5157543
Hajo,,
Tawang,27.5879186,91.863733
Agartala,23.8312377,91.2823821
Dumboor,23.4736315,91.8381882
Unakoti,24.1909849,92.0460483
Bastar,19.1191283,81.8291865
Dzükou Valley,25.5516751,94.1216786
Puducherry,10.9156489,79.8069488
Auroville,12.0073927,79.8099471
Port Blair,11.6645348,92.7390448
Havelock Island,11.9651954,92.9956211
Neil Island,11.831374,93.0419302
Baratang Island,12.1883182,92.8110351
Diu,,
Deoghar,24.4898318,86.6990182
Ranchi,23.3700501,85.3250387
Bodh Gaya,24.6939222,84.9839352
Patna,25.6093239,85.1235252
Gurugram,28.4646148,77.0299194
New Delhi,28.6138954,77.2090057
Kedarnath,30.7338877,79.0669073
Greater Noida,28.4670734,77.5137649
Bengaluru,12.9767936,77.590082
Cherrapunji,25.2777336,91.7292416
